ក	ក
ក	ក
កក	កក
កកកុញ	កក កុញ
កកស្ទះ	កក ស្ទះ
កក	កក
កក	កក
កករ	ក ក
កករចិត្ត	ក ក ចិត
កកាត	ក កាត
កកាយ	ក កាយ
កកិចកកុច	ក កិច ក កុច
កកិត	ក កិត
កកិល	ក កិល
កកូរ	ក កូ
កកូរកកាយ	ក កូ ក កាយ
កកេបកកាប	ក កេប ក កាប
កកេរ	ក កេ
កកេះ	ក កេះ
កកែកកកោក	ក កែក ក កោក
កកែកករ	ក កែ ក ក
កកែងកកោង	ក កែង ក កោង
កកែប	ក កែប
កកោក	ក កោក
កកោស	ក កោស
កកោះ	ក កោះ
កក់	កក់
កក់	កក់
កក់	កក់
កក់	កក់
កក់	កក់
កក់ក្ដៅ	កក់ ក្ដៅ
កក្កដ	ក័ក កៈ ដៈ
កក្កដា	ក័ក កៈ ដា
កក្រិត	ក ក្រិត
កក្រើក	ក ក្រើក
កក្រើកញាប់ញ័រ	ក ក្រើក ញាប់ ញ័រ
កក្រើករំជួល	ក ក្រើក រំ ជួល
កក្រើករំពើក	ក ក្រើក រំ ពើក
កក្រោះ	ក ក្រោះ
កក្លាក់	ក ក្លាក់
កក្លូក	ក ក្លូក
កក្អាក	ក ក្អាក
កក្អាកកក្អាយ	ក ក្អាក ក ក្អាយ
កក្អាយ	ក ក្អាយ
កក្អិច	ក ក្អិច
កក្អិច	ក ក្អិច
កក្អិល	ក ក្អិល
កក្អឹក	ក ក្អឹក
កក្អៀក	ក ក្អៀក
កក្អៀច	ក ក្អៀច
កខិកកខក់	ក ខិក ក ខក់
កខិបកខុប	ក ខិប ក ខុប
កខឹក	ក ខឹក
កខុប	ក ខុប
កខូស	ក ខូស
កខ្វក់	ក ខ្វក់
កខ្វិក	ក ខ្វិក
កខ្វេសកខ្វាស	ក ខ្វេស ក ខ្វាស
កង	កង
កង	កង
កង	កង
កងកម្លាំង	កង កំ ឡាំង
កងកម្លាំងប្រដាប់អាវុធ	កង កំ ឡាំង ប្រ ដាប់ អា វុត
កងកាំភ្លើងធំ	កង កាំ ភ្លើង ធំ
កងនាវា	កង នា វា
កងរាជអាវុធហត្ថ	កង រាច អា វុត ហ័ត
កងអន្តរាគមន៍	កង អន់ តៈ រ៉ា គំ
កង	កង
កងក	កង ក
កងកន់	កង កន់
